요금제명,입실,퇴실,이용,위치,금액,구분,고객
한국대생 입장권(종일권),2021-11-28 20:56,2021-11-29 5:57,오전 9:01:00,선불기2,5500,퇴실,customer821884
한국대생 입장권(종일권),2021-11-28 20:43,2021-11-29 5:58,오전 9:15:00,선불기2,6000,퇴실,customer234773
한국대생 입장권(종일권),2021-11-28 20:43,2021-11-29 5:58,오전 9:15:00,선불기2,6000,퇴실,customer234773
한국대생 입장권(종일권),2021-11-28 20:43,2021-11-29 5:58,오전 9:15:00,선불기2,6000,퇴실,customer234773
한국대생 입장권(종일권),2021-11-28 20:32,2021-11-28 22:03,오전 1:31:00,선불기2,5500,퇴실,customer236707
한국대생 입장권(종일권),2021-11-28 20:25,2021-11-28 21:55,오전 1:30:00,선불기2,7500,퇴실,customer748069
한국대생 입장권(종일권),2021-11-28 20:25,2021-11-28 21:55,오전 1:30:00,선불기2,7500,퇴실,customer748069
한국대생 입장권(종일권),2021-11-28 20:25,2021-11-28 21:55,오전 1:30:00,선불기2,7500,퇴실,customer748069
한국대생 입장권(종일권),2021-11-28 20:20,2021-11-28 22:31,오전 2:11:00,선불기2,6500,퇴실,customer391212
한국대생 입장권(종일권),2021-11-28 20:19,2021-11-28 21:48,오전 1:29:00,선불기2,7500,퇴실,customer452964
한국대생 입장권(종일권),2021-11-28 20:18,2021-11-28 22:31,오전 2:13:00,선불기2,6000,퇴실,customer433316
입장권(종일권),2021-11-28 20:15,2021-11-28 22:03,오전 1:48:00,선불기2,6500,퇴실,customer758317
입장권(종일권),2021-11-28 20:13,2021-11-28 22:44,오전 2:31:00,선불기2,6500,퇴실,customer803203
한국대생 입장권(종일권),2021-11-28 20:08,2021-11-29 5:58,오전 9:50:00,선불기2,5500,퇴실,customer849253
한국대생 입장권(종일권),2021-11-28 20:05,2021-11-29 2:07,오전 6:02:00,선불기2,6000,퇴실,customer852776
한국대생 입장권(종일권),2021-11-28 20:03,2021-11-29 0:03,오전 4:00:00,선불기2,6000,퇴실,customer488130
한국대생 입장권(종일권),2021-11-28 20:01,2021-11-29 5:54,오전 6:22:00,선불기2,6000,퇴실,customer898612
한국대생 입장권(종일권),2021-11-28 20:01,2021-11-29 5:54,오전 6:22:00,선불기2,7000,퇴실,customer898612
,2021-11-28 20:01,2021-11-29 2:24,오전 6:22:00,선불기2,0,퇴실,customer898612
한국대생 입장권(종일권),2021-11-28 19:32,2021-11-29 0:03,오전 4:31:00,선불기2,5500,퇴실,customer241728
한국대생 입장권(종일권),2021-11-28 19:31,2021-11-29 0:03,오전 4:32:00,선불기2,5500,퇴실,customer223810
한국대생 입장권(종일권),2021-11-28 19:30,2021-11-29 0:03,오전 4:33:00,선불기2,6000,퇴실,customer901655
한국대생 입장권(종일권),2021-11-28 18:51,2021-11-28 23:03,오전 4:12:00,선불기2,7500,퇴실,customer496146
한국대생 입장권(종일권),2021-11-28 18:51,2021-11-28 23:03,오전 4:12:00,선불기2,6000,퇴실,customer496146
입장권(종일권),2021-11-28 18:48,2021-11-28 21:16,오전 2:28:00,선불기2,6500,퇴실,customer839632
한국대생 입장권(종일권),2021-11-28 18:42,2021-11-29 5:48,오전 11:06:00,선불기2,7500,퇴실,customer935817
한국대생 입장권(종일권),2021-11-28 18:42,2021-11-29 5:48,오전 11:06:00,선불기2,6500,퇴실,customer935817
한국대생 입장권(종일권),2021-11-28 18:27,2021-11-28 23:58,오전 5:31:00,선불기2,5500,퇴실,customer775063
한국대생 입장권(종일권),2021-11-28 18:27,2021-11-28 23:58,오전 5:31:00,선불기2,5500,퇴실,customer775063
한국대생 입장권(종일권),2021-11-28 18:15,2021-11-28 23:24,오전 5:09:00,선불기2,6000,퇴실,customer308941
한국대생 입장권(종일권),2021-11-28 18:14,2021-11-28 23:24,오전 5:10:00,선불기2,6000,퇴실,customer493236
입장권(종일권),2021-11-28 18:10,2021-11-28 21:16,오전 3:06:00,선불기2,6500,퇴실,customer852051
입장권(종일권),2021-11-28 18:09,2021-11-28 22:03,오전 3:54:00,선불기2,7000,퇴실,customer406257
한국대생 입장권(종일권),2021-11-28 17:47,2021-11-28 22:00,오전 4:13:00,선불기2,7500,퇴실,customer351550
한국대생 입장권(종일권),2021-11-28 17:47,2021-11-28 22:00,오전 4:13:00,선불기2,7500,퇴실,customer351550
한국대생 입장권(종일권),2021-11-28 17:29,2021-11-28 22:00,오전 4:31:00,선불기2,6000,퇴실,customer824283
한국대생 입장권(종일권),2021-11-28 17:23,2021-11-28 21:17,오전 3:54:00,선불기2,6000,퇴실,customer947991
한국대생 입장권(종일권),2021-11-28 17:23,2021-11-28 21:17,오전 3:54:00,선불기2,6000,퇴실,customer947991
한국대생 입장권(종일권),2021-11-28 17:18,2021-11-29 0:52,오전 7:34:00,선불기2,6000,퇴실,customer467021
한국대생 입장권(종일권),2021-11-28 17:17,2021-11-29 0:52,오전 7:35:00,선불기2,6000,퇴실,customer669001
한국대생 입장권(종일권),2021-11-28 16:51,2021-11-28 20:20,오전 3:29:00,선불기2,6500,퇴실,customer868741
기간권,2021-11-28 16:49,2021-11-29 1:28,오전 8:39:00,선불기2,0,퇴실,customer490993
입장권(종일권),2021-11-28 16:47,2021-11-28 21:38,오전 4:50:00,선불기2,6500,퇴실,customer323725
입장권(종일권),2021-11-28 16:46,2021-11-28 21:37,오전 4:51:00,선불기2,6000,퇴실,customer772810
한국대생 입장권(종일권),2021-11-28 16:38,2021-11-28 18:28,오전 1:50:00,선불기2,6000,퇴실,customer252824
한국대생 입장권(종일권),2021-11-28 16:37,2021-11-28 20:21,오전 3:44:00,선불기2,6000,퇴실,customer218383
시간요금제(1시간),2021-11-28 16:26,2021-11-28 17:34,오전 1:08:00,선불기2,2500,퇴실,customer521003
시간요금제(1시간),2021-11-28 16:26,2021-11-28 17:34,오전 1:08:00,선불기2,2500,퇴실,customer521003
한국대생 입장권(종일권),2021-11-28 15:46,2021-11-28 18:49,오전 3:03:00,선불기2,5500,퇴실,customer503828
입장권(종일권),2021-11-28 15:46,2021-11-28 18:49,오전 3:03:00,선불기2,7000,퇴실,customer503828
입장권(종일권),2021-11-28 14:47,2021-11-28 16:19,오전 1:32:00,선불기2,7000,퇴실,customer319446
입장권(종일권),2021-11-28 14:47,2021-11-28 16:19,오전 1:32:00,선불기2,6000,퇴실,customer319446
한국대생 입장권(종일권),2021-11-28 14:46,2021-11-29 0:03,오전 9:17:00,선불기2,6000,퇴실,customer518484
한국대생 입장권(종일권),2021-11-28 14:45,2021-11-29 0:03,오전 9:18:00,선불기2,6500,퇴실,customer622319
시간요금제(1시간),2021-11-28 14:11,2021-11-28 15:58,오전 1:47:00,선불기2,2500,퇴실,customer945032
시간요금제(1시간),2021-11-28 14:11,2021-11-28 15:58,오전 1:47:00,선불기2,2500,퇴실,customer945032
시간요금제(1시간),2021-11-28 14:11,2021-11-28 15:58,오전 1:47:00,선불기2,2500,퇴실,customer945032
시간요금제(1시간),2021-11-28 14:11,2021-11-28 15:58,오전 1:47:00,선불기2,2500,퇴실,customer945032
입장권(종일권),2021-11-28 14:00,2021-11-28 16:45,오전 2:45:00,선불기2,6500,퇴실,customer419171
입장권(종일권),2021-11-28 14:00,2021-11-28 16:45,오전 2:45:00,선불기2,7500,퇴실,customer419171
입장권(종일권),2021-11-28 13:59,2021-11-28 17:05,오전 3:06:00,선불기2,7000,퇴실,customer908852
입장권(종일권),2021-11-28 13:59,2021-11-28 17:05,오전 3:06:00,선불기2,7000,퇴실,customer908852
한국대생 입장권(종일권),2021-11-28 13:50,2021-11-28 17:53,오전 4:03:00,선불기2,7000,퇴실,customer931509
한국대생 입장권(종일권),2021-11-28 13:50,2021-11-28 17:53,오전 4:03:00,선불기2,7000,퇴실,customer931509
입장권(종일권),2021-11-28 13:41,2021-11-29 4:04,오후 2:23:00,선불기2,8000,퇴실,customer561168
한국대생 입장권(종일권),2021-11-28 13:41,2021-11-29 4:04,오후 2:23:00,선불기2,7500,퇴실,customer561168
한국대생 입장권(종일권),2021-11-28 13:40,2021-11-29 3:16,오후 1:36:00,선불기2,6000,퇴실,customer441389
한국대생 입장권(종일권),2021-11-28 13:39,2021-11-29 3:16,오후 1:37:00,선불기2,6000,퇴실,customer839101
한국대생 입장권(종일권),2021-11-28 13:13,2021-11-28 17:47,오전 4:34:00,선불기2,6000,퇴실,customer660970
한국대생 입장권(종일권),2021-11-28 13:07,2021-11-28 17:47,오전 4:40:00,선불기2,6500,퇴실,customer309199
시간요금제(1시간),2021-11-28 12:28,2021-11-28 14:17,오전 1:49:00,선불기2,2500,퇴실,customer652830
입장권(종일권),2021-11-28 12:24,2021-11-28 16:03,오전 3:39:00,선불기2,6500,퇴실,customer579089
시간요금제(1시간),2021-11-28 11:57,2021-11-28 13:04,오전 1:07:00,선불기2,2500,퇴실,customer731537
입장권(종일권),2021-11-28 11:54,2021-11-28 16:03,오전 4:09:00,선불기2,7500,퇴실,customer728294
입장권(종일권),2021-11-28 11:16,2021-11-28 13:26,오전 2:10:00,선불기2,6000,퇴실,customer231320
입장권(종일권),2021-11-28 10:42,2021-11-28 13:26,오전 2:44:00,선불기2,6000,퇴실,customer248066
시간요금제(1시간),2021-11-28 10:06,2021-11-28 11:06,오전 1:00:00,선불기2,2500,퇴실,customer341782
심야-조조무제한,2021-11-28 9:28,2021-11-28 13:47,오전 4:19:00,선불기2,5000,퇴실,customer558847
심야-조조무제한,2021-11-28 9:20,2021-11-28 13:48,오전 4:28:00,선불기2,5000,퇴실,customer625018
심야-조조무제한,2021-11-28 9:17,2021-11-28 13:47,오전 4:30:00,선불기2,5000,퇴실,customer537185
기간권,2021-11-28 9:14,2021-11-28 11:41,오전 2:27:00,선불기2,0,퇴실,customer258946
심야-조조무제한,2021-11-28 9:07,2021-11-28 13:40,오전 4:33:00,선불기2,5000,퇴실,customer758171
기간권,2021-11-28 8:57,2021-11-28 16:53,오전 7:56:00,선불기2,0,퇴실,customer229550
시간요금제(1시간),2021-11-28 2:27,2021-11-28 2:35,오전 12:08:00,선불기2,2500,퇴실,customer725642
심야-조조무제한,2021-11-28 1:04,2021-11-28 3:19,오전 2:15:00,선불기2,5000,퇴실,customer363333
한국대생 입장권(종일권),2021-11-28 0:34,2021-11-28 1:27,오전 12:53:00,선불기2,5500,퇴실,customer321888
입장권(종일권),2021-11-28 0:30,2021-11-28 6:00,오전 5:30:00,선불기2,6000,퇴실,customer236358
입장권(종일권),2021-11-28 0:30,2021-11-28 6:00,오전 5:30:00,선불기2,6000,퇴실,customer236358
한국대생 입장권(종일권),2021-11-28 0:06,2021-11-28 1:27,오전 1:21:00,선불기2,6500,퇴실,customer556491
한국대생 입장권(종일권),2021-11-27 23:39,2021-11-28 3:15,오전 3:36:00,선불기2,7500,퇴실,customer509559
한국대생 입장권(종일권),2021-11-27 22:46,2021-11-28 1:33,오전 2:47:00,선불기2,6000,퇴실,customer405248
한국대생 입장권(종일권),2021-11-27 22:46,2021-11-28 1:33,오전 2:47:00,선불기2,5500,퇴실,customer412836
한국대생 입장권(종일권),2021-11-27 22:41,2021-11-28 9:49,오전 11:07:00,선불기2,6000,퇴실,customer667032
시간권,2021-11-27 22:14,2021-11-27 23:22,오전 1:08:00,선불기2,0,퇴실,customer517629
,2021-11-27 22:13,2021-11-27 23:26,오전 1:13:00,선불기2,0,퇴실,customer293254
한국대생 입장권(종일권),2021-11-27 22:13,2021-11-28 3:15,오전 1:13:00,선불기2,6000,퇴실,customer293254
한국대생 입장권(종일권),2021-11-27 22:13,2021-11-28 3:15,오전 5:02:00,선불기2,6000,퇴실,customer293254
입장권(종일권),2021-11-27 22:08,2021-11-28 2:53,오전 4:45:00,선불기2,7000,퇴실,customer568252
입장권(종일권),2021-11-27 22:08,2021-11-28 2:53,오전 4:45:00,선불기2,6500,퇴실,customer568252
한국대생 입장권(종일권),2021-11-27 22:06,2021-11-28 4:32,오전 6:25:00,선불기2,5500,퇴실,customer668636
한국대생 입장권(종일권),2021-11-27 22:00,2021-11-28 2:29,오전 4:29:00,선불기2,5500,퇴실,customer344627
한국대생 입장권(종일권),2021-11-27 21:59,2021-11-28 2:29,오전 4:30:00,선불기2,6500,퇴실,customer255466
입장권(종일권),2021-11-27 21:56,2021-11-28 1:19,오전 3:23:00,선불기2,7000,퇴실,customer452340
입장권(종일권),2021-11-27 21:56,2021-11-28 1:19,오전 3:23:00,선불기2,7000,퇴실,customer452340
입장권(종일권),2021-11-27 21:15,2021-11-28 1:12,오전 3:57:00,선불기2,8000,퇴실,customer336528
입장권(종일권),2021-11-27 21:15,2021-11-28 1:12,오전 3:57:00,선불기2,7000,퇴실,customer336528
한국대생 입장권(종일권),2021-11-27 21:11,2021-11-28 3:37,오전 5:28:00,선불기2,7500,퇴실,customer266744
한국대생 입장권(종일권),2021-11-27 21:11,2021-11-28 3:37,오전 5:28:00,선불기2,7000,퇴실,customer266744
한국대생 입장권(종일권),2021-11-27 21:11,2021-11-28 3:37,오전 5:28:00,선불기2,6000,퇴실,customer266744
,2021-11-27 21:11,2021-11-28 2:39,오전 5:28:00,선불기2,0,퇴실,customer266744
시간권,2021-11-27 20:56,2021-11-27 22:55,오전 1:59:00,선불기2,0,퇴실,customer513925
한국대생 입장권(종일권),2021-11-27 20:53,2021-11-27 23:03,오전 2:10:00,선불기2,7000,퇴실,customer943288
한국대생 입장권(종일권),2021-11-27 20:53,2021-11-27 23:03,오전 2:10:00,선불기2,6500,퇴실,customer943288
한국대생 입장권(종일권),2021-11-27 20:35,2021-11-28 0:55,오전 4:20:00,선불기2,6500,퇴실,customer948000
한국대생 입장권(종일권),2021-11-27 20:34,2021-11-28 0:56,오전 4:22:00,선불기2,6000,퇴실,customer666138
한국대생 입장권(종일권),2021-11-27 20:34,2021-11-28 0:56,오전 4:22:00,선불기2,6000,퇴실,customer330056
한국대생 입장권(종일권),2021-11-27 20:33,2021-11-28 0:56,오전 4:23:00,선불기2,6000,퇴실,customer628493
입장권(종일권),2021-11-27 20:30,2021-11-28 9:15,오후 12:45:00,선불기2,6000,퇴실,customer537791
한국대생 입장권(종일권),2021-11-27 20:15,2021-11-27 21:34,오전 1:18:00,선불기2,6500,퇴실,customer421907
한국대생 입장권(종일권),2021-11-27 20:07,2021-11-28 6:00,오전 9:53:00,선불기2,6000,퇴실,customer904879
한국대생 입장권(종일권),2021-11-27 19:02,2021-11-27 22:36,오전 3:34:00,선불기2,6500,퇴실,customer367961
한국대생 입장권(종일권),2021-11-27 19:02,2021-11-27 22:36,오전 3:34:00,선불기2,6000,퇴실,customer367961
한국대생 입장권(종일권),2021-11-27 19:00,2021-11-27 22:36,오전 3:36:00,선불기2,7500,퇴실,customer922336
한국대생 입장권(종일권),2021-11-27 19:00,2021-11-27 22:36,오전 3:36:00,선불기2,7500,퇴실,customer922336
한국대생 입장권(종일권),2021-11-27 18:41,2021-11-28 6:00,오전 11:19:00,선불기2,6000,퇴실,customer717280
한국대생 입장권(종일권),2021-11-27 18:40,2021-11-28 6:00,오전 11:20:00,선불기2,7000,퇴실,customer202255
한국대생 입장권(종일권),2021-11-27 18:39,2021-11-28 6:00,오전 11:21:00,선불기2,6000,퇴실,customer728920
한국대생 입장권(종일권),2021-11-27 18:32,2021-11-27 23:09,오전 4:37:00,선불기2,6000,퇴실,customer775141
한국대생 입장권(종일권),2021-11-27 18:32,2021-11-27 23:09,오전 4:37:00,선불기2,6000,퇴실,customer775141
입장권(종일권),2021-11-27 17:37,2021-11-27 20:43,오전 3:06:00,선불기2,8000,퇴실,customer624202
입장권(종일권),2021-11-27 17:37,2021-11-27 20:43,오전 3:06:00,선불기2,6500,퇴실,customer624202
입장권(종일권),2021-11-27 16:58,2021-11-27 20:44,오전 3:46:00,선불기2,8000,퇴실,customer202794
기간권,2021-11-27 16:29,2021-11-28 1:44,오전 9:15:00,선불기2,0,퇴실,customer490993
한국대생 입장권(종일권),2021-11-27 16:00,2021-11-27 16:52,오전 12:52:00,선불기2,6000,퇴실,customer397642
한국대생 입장권(종일권),2021-11-27 16:00,2021-11-27 16:52,오전 12:52:00,선불기2,6000,퇴실,customer397642
입장권(종일권),2021-11-27 15:59,2021-11-27 20:08,오전 4:09:00,선불기2,8000,퇴실,customer351347
입장권(종일권),2021-11-27 15:59,2021-11-27 20:08,오전 4:09:00,선불기2,7000,퇴실,customer351347
입장권(종일권),2021-11-27 15:59,2021-11-27 20:08,오전 4:09:00,선불기2,7000,퇴실,customer351347
한국대생 입장권(종일권),2021-11-27 15:21,2021-11-27 18:36,오전 3:15:00,선불기2,6500,퇴실,customer349200
한국대생 입장권(종일권),2021-11-27 15:20,2021-11-27 18:37,오전 3:17:00,선불기2,6500,퇴실,customer253518
한국대생 입장권(종일권),2021-11-27 15:20,2021-11-27 18:37,오전 3:17:00,선불기2,6000,퇴실,customer253518
시간권,2021-11-27 15:00,2021-11-27 18:39,오전 3:39:00,선불기2,0,퇴실,customer513925
한국대생 입장권(종일권),2021-11-27 14:46,2021-11-27 22:37,오전 7:51:00,선불기2,6000,퇴실,customer406336
한국대생 입장권(종일권),2021-11-27 14:46,2021-11-27 22:37,오전 7:51:00,선불기2,7000,퇴실,customer406336
시간요금제(1시간),2021-11-27 14:25,2021-11-27 16:13,오전 1:48:00,선불기2,2500,퇴실,customer982685
시간요금제(1시간),2021-11-27 14:25,2021-11-27 16:13,오전 1:48:00,선불기2,2500,퇴실,customer982685
입장권(종일권),2021-11-27 14:24,2021-11-27 16:42,오전 2:18:00,선불기2,7000,퇴실,customer329572
입장권(종일권),2021-11-27 14:24,2021-11-27 16:42,오전 2:18:00,선불기2,7000,퇴실,customer329572
입장권(종일권),2021-11-27 14:24,2021-11-27 16:42,오전 2:18:00,선불기2,8000,퇴실,customer329572
한국대생 입장권(종일권),2021-11-27 14:14,2021-11-27 22:04,오전 7:50:00,선불기2,6000,퇴실,customer936891
입장권(종일권),2021-11-27 14:13,2021-11-27 22:04,오전 7:51:00,선불기2,7000,퇴실,customer948179
입장권(종일권),2021-11-27 13:45,2021-11-27 19:20,오전 5:35:00,선불기2,8000,퇴실,customer673622
입장권(종일권),2021-11-27 13:45,2021-11-27 19:20,오전 5:35:00,선불기2,7000,퇴실,customer673622
시간요금제(3시간),2021-11-27 13:35,2021-11-27 16:39,오전 3:03:00,선불기2,7000,퇴실,customer263475
한국대생 입장권(종일권),2021-11-27 13:11,2021-11-27 19:21,오전 6:10:00,선불기2,5500,퇴실,customer907084
한국대생 입장권(종일권),2021-11-27 13:11,2021-11-27 19:21,오전 6:10:00,선불기2,6000,퇴실,customer907084
한국대생 입장권(종일권),2021-11-27 13:11,2021-11-27 19:21,오전 6:10:00,선불기2,6000,퇴실,customer907084
한국대생 입장권(종일권),2021-11-27 12:08,2021-11-27 14:42,오전 2:34:00,선불기2,6500,퇴실,customer848231
한국대생 입장권(종일권),2021-11-27 12:08,2021-11-27 14:42,오전 2:34:00,선불기2,6000,퇴실,customer848231
시간권,2021-11-27 11:03,2021-11-27 12:13,오전 1:10:00,선불기2,0,퇴실,customer513925
기간권,2021-11-27 8:58,2021-11-27 16:52,오전 7:54:00,선불기2,0,퇴실,customer229550
심야-조조무제한,2021-11-27 7:35,2021-11-27 17:33,오전 9:58:00,선불기2,5000,퇴실,customer476889
심야-조조무제한,2021-11-27 4:01,2021-11-27 8:12,오전 4:10:00,선불기2,5000,퇴실,customer636395
심야-조조무제한,2021-11-27 4:01,2021-11-27 8:12,오전 4:10:00,선불기2,5000,퇴실,customer636395
심야-조조무제한,2021-11-27 4:01,2021-11-27 8:12,오전 4:10:00,선불기2,5000,퇴실,customer636395
심야-조조무제한,2021-11-27 2:30,2021-11-27 5:57,오전 3:27:00,선불기2,5000,퇴실,customer421639
심야-조조무제한,2021-11-27 2:30,2021-11-27 5:57,오전 3:27:00,선불기2,5000,퇴실,customer421639
심야-조조무제한,2021-11-27 2:30,2021-11-27 5:57,오전 3:27:00,선불기2,5000,퇴실,customer421639
심야-조조무제한,2021-11-27 1:05,2021-11-27 1:41,오전 12:36:00,선불기2,5000,퇴실,customer406132
한국대생 입장권(종일권),2021-11-27 0:12,2021-11-27 4:33,오전 4:21:00,선불기2,6000,퇴실,customer451736
한국대생 입장권(종일권),2021-11-27 0:11,2021-11-27 4:33,오전 4:22:00,선불기2,5500,퇴실,customer363333
한국대생 입장권(종일권),2021-11-26 23:55,2021-11-27 5:55,오전 6:00:00,선불기2,5500,퇴실,customer413787
한국대생 입장권(종일권),2021-11-26 23:55,2021-11-27 5:55,오전 6:00:00,선불기2,7000,퇴실,customer843350
한국대생 입장권(종일권),2021-11-26 23:51,2021-11-27 8:31,오전 8:40:00,선불기2,6500,퇴실,customer622319
한국대생 입장권(종일권),2021-11-26 23:32,2021-11-27 3:43,오전 4:10:00,선불기2,5500,퇴실,customer903463
한국대생 입장권(종일권),2021-11-26 23:17,2021-11-27 4:58,오전 5:41:00,선불기2,6000,퇴실,customer393953
입장권(종일권),2021-11-26 22:31,2021-11-27 1:45,오전 3:14:00,선불기2,6000,퇴실,customer856182
한국대생 입장권(종일권),2021-11-26 22:24,2021-11-27 4:00,오전 5:36:00,선불기2,7000,퇴실,customer534349
한국대생 입장권(종일권),2021-11-26 22:24,2021-11-27 4:00,오전 5:36:00,선불기2,7500,퇴실,customer534349
한국대생 입장권(종일권),2021-11-26 21:41,2021-11-27 9:35,오전 11:54:00,선불기2,6000,퇴실,customer667032
한국대생 입장권(종일권),2021-11-26 21:24,2021-11-27 4:06,오전 6:42:00,선불기2,6000,퇴실,customer992983
입장권(종일권),2021-11-26 20:21,2021-11-27 5:58,오전 9:37:00,선불기2,8000,퇴실,customer900683
한국대생 입장권(종일권),2021-11-26 20:21,2021-11-27 5:58,오전 9:37:00,선불기2,6500,퇴실,customer900683
한국대생 입장권(종일권),2021-11-26 20:11,2021-11-27 8:32,오후 12:21:00,선불기2,5500,퇴실,customer518484
입장권(종일권),2021-11-26 19:59,2021-11-26 23:59,오전 4:00:00,선불기2,7000,퇴실,customer662135
입장권(종일권),2021-11-26 19:59,2021-11-26 23:59,오전 4:00:00,선불기2,6500,퇴실,customer662135
입장권(종일권),2021-11-26 18:43,2021-11-26 23:07,오전 4:24:00,선불기2,6500,퇴실,customer229188
한국대생 입장권(종일권),2021-11-26 17:56,2021-11-26 22:46,오전 4:50:00,선불기2,7000,퇴실,customer494418
기간권,2021-11-26 17:50,2021-11-27 1:46,오전 7:56:00,선불기2,0,퇴실,customer300766
한국대생 입장권(종일권),2021-11-26 17:29,2021-11-27 5:50,오후 12:21:00,선불기2,6000,퇴실,customer340595
한국대생 입장권(종일권),2021-11-26 17:28,2021-11-27 5:50,오후 12:22:00,선불기2,6000,퇴실,customer380084
시간권,2021-11-26 17:25,2021-11-26 22:16,오전 4:51:00,선불기2,0,퇴실,customer513925
한국대생 입장권(종일권),2021-11-26 17:09,2021-11-26 22:29,오전 5:20:00,선불기2,6000,퇴실,customer552974
한국대생 입장권(종일권),2021-11-26 17:09,2021-11-26 22:29,오전 5:20:00,선불기2,5500,퇴실,customer552974
입장권(종일권),2021-11-26 16:39,2021-11-26 19:45,오전 3:06:00,선불기2,6500,퇴실,customer387787
입장권(종일권),2021-11-26 14:54,2021-11-26 16:54,오전 2:00:00,선불기2,6500,퇴실,customer864583
기간권,2021-11-26 12:57,2021-11-26 15:32,오전 2:35:00,선불기2,0,퇴실,customer570913
한국대생 입장권(종일권),2021-11-26 12:56,2021-11-26 14:49,오전 1:53:00,선불기2,6500,퇴실,customer977134
입장권(종일권),2021-11-26 12:32,2021-11-26 18:53,오전 6:21:00,선불기2,6500,퇴실,customer864416
시간요금제(1시간),2021-11-26 10:16,2021-11-26 11:14,오전 12:58:00,선불기2,2500,퇴실,customer357195
심야-조조무제한,2021-11-26 9:04,2021-11-26 17:44,오전 8:40:00,선불기1,5000,퇴실,customer365733
심야-조조무제한,2021-11-26 9:04,2021-11-26 17:44,오전 8:40:00,선불기1,5000,퇴실,customer365733
기간권,2021-11-26 8:56,2021-11-26 16:54,오전 7:58:00,선불기2,0,퇴실,customer581973
심야-조조무제한,2021-11-26 8:47,2021-11-26 12:46,오전 3:59:00,선불기2,5000,퇴실,customer622291
심야-조조무제한,2021-11-26 8:47,2021-11-26 12:46,오전 3:59:00,선불기2,5000,퇴실,customer622291
기간권,2021-11-26 8:09,2021-11-26 12:59,오전 4:50:00,선불기2,0,퇴실,customer396532
심야-조조무제한,2021-11-26 8:05,2021-11-26 13:51,오전 5:46:00,선불기2,5000,퇴실,customer755157
심야-조조무제한,2021-11-26 7:19,2021-11-26 10:03,오전 2:44:00,선불기2,5000,퇴실,customer531365
심야-조조무제한,2021-11-26 1:14,2021-11-26 1:48,오전 12:34:00,선불기2,5000,퇴실,customer214414
심야-조조무제한,2021-11-26 1:14,2021-11-26 1:47,오전 12:33:00,선불기2,5000,퇴실,customer635852
한국대생 입장권(종일권),2021-11-26 0:41,2021-11-26 4:34,오전 3:53:00,선불기2,5500,퇴실,customer412836
한국대생 입장권(종일권),2021-11-26 0:41,2021-11-26 4:34,오전 3:53:00,선불기2,5500,퇴실,customer412836
한국대생 입장권(종일권),2021-11-26 0:11,2021-11-26 4:54,오전 4:43:00,선불기2,6000,퇴실,customer843350
한국대생 입장권(종일권),2021-11-25 23:25,2021-11-26 1:51,오전 2:25:00,선불기2,6000,퇴실,customer531365
한국대생 입장권(종일권),2021-11-25 23:21,2021-11-26 2:05,오전 2:44:00,선불기2,6000,퇴실,customer417121
입장권(종일권),2021-11-25 23:11,2021-11-26 2:18,오전 3:07:00,선불기2,7000,퇴실,customer967050
한국대생 입장권(종일권),2021-11-25 22:52,2021-11-26 2:03,오전 3:11:00,선불기2,5500,퇴실,customer903463
한국대생 입장권(종일권),2021-11-25 22:50,2021-11-26 2:28,오전 3:38:00,선불기2,6000,퇴실,customer637888
한국대생 입장권(종일권),2021-11-25 22:24,2021-11-26 0:41,오전 2:17:00,선불기2,6000,퇴실,customer223810
한국대생 입장권(종일권),2021-11-25 22:23,2021-11-26 0:41,오전 2:18:00,선불기2,6000,퇴실,customer901655
한국대생 입장권(종일권),2021-11-25 22:12,2021-11-26 2:35,오전 4:23:00,선불기2,5500,퇴실,customer753225
한국대생 입장권(종일권),2021-11-25 22:11,2021-11-26 2:35,오전 4:24:00,선불기2,5500,퇴실,customer754254
한국대생 입장권(종일권),2021-11-25 22:11,2021-11-26 2:35,오전 4:24:00,선불기2,5500,퇴실,customer837081
시간요금제(1시간),2021-11-25 21:40,2021-11-25 22:38,오전 12:58:00,선불기2,2500,퇴실,customer552927
시간요금제(1시간),2021-11-25 21:40,2021-11-25 22:38,오전 12:58:00,선불기2,2500,퇴실,customer552927
시간요금제(1시간),2021-11-25 21:40,2021-11-25 22:38,오전 12:58:00,선불기2,2500,퇴실,customer552927
시간요금제(1시간),2021-11-25 21:40,2021-11-25 22:38,오전 12:58:00,선불기2,2500,퇴실,customer552927
한국대생 입장권(종일권),2021-11-25 21:29,2021-11-26 1:48,오전 4:19:00,선불기2,5500,퇴실,customer433316
한국대생 입장권(종일권),2021-11-25 21:07,2021-11-25 23:41,오전 2:34:00,선불기2,5500,퇴실,customer948477
한국대생 입장권(종일권),2021-11-25 21:06,2021-11-26 3:02,오전 5:56:00,선불기2,5500,퇴실,customer301807
한국대생 입장권(종일권),2021-11-25 20:59,2021-11-26 4:53,오전 7:54:00,선불기2,5500,퇴실,customer953875
한국대생 입장권(종일권),2021-11-25 20:58,2021-11-26 4:54,오전 7:56:00,선불기2,6000,퇴실,customer896936
한국대생 입장권(종일권),2021-11-25 20:57,2021-11-26 1:48,오전 4:51:00,선불기2,6500,퇴실,customer223973
한국대생 입장권(종일권),2021-11-25 20:56,2021-11-26 3:19,오전 6:23:00,선불기2,7500,퇴실,customer990781
